author,number_titles,id
Nabil Ahmed Belbachir,1,24821
M. Mohammadi,1,24822
John W. Brackett,1,24823
Yunseok Rhee,1,24824
Xiangjuan Yao,1,24825
Manoj Acharya,1,24826
Kathleen M. Carley,1,24827
Omar Inverso,1,24828
George Chin,1,24829
Jean-Lou De Carufel,1,24830
David Simplot-Ryl,1,24831
Taehoon Kim,1,24832
Young-Rok Yang,1,24833
Scott B. Baden,1,24834
Cosmin Condea,1,24835
David Sankoff,1,24836
Ángel Merchán-Pérez,1,24837
Mati Golani,1,24838
Constantin Bala Zamfirescu,1,24839
Kumar Dhenuvakonda,1,24840
Timo Lehtonen,1,24841
Thea Borgholm,1,24842
Michael Minkoff,1,24843
Rado Andriantsimiavona,1,24844
Nick Hawes,1,24845
Johannes Lüthi,1,24846
Rafael Vidal,1,24847
Nam-Gyoon Kim,1,24848
Jong-Sub Lee,1,24849
Rafi Chen,1,24850
Jong-Keuk Lee,1,24851
Dirk Seifert,1,24852
Wooyong Chung,1,24854
Toufik Marir,1,24855
Tianshu Chu,1,24856
Karl R. P. H. Leung,1,24857
Di Lu,1,24858
Yuanyuan Yang,1,24859
Gaoli Wang,1,24860
Dennis Djf Heck,1,24861
Corinna Schulze,1,24862
Maider Lehr,1,24863
Meghan Lammie Glenn,1,24864
Virginia Mary Lo,1,24865
Gergely Lukács,1,24866
Rodrigo C. S. Costa,1,24867
Edwin M. Knorr,1,24868
Soumen Dey,1,24869
Peter M. Broadwell,1,24870
Markus Anwander,1,24871
Eonpyo Hong,1,24872
Lu Feng,1,24873
Ahmad Hoorfar,1,24874
Alain J. Mayer,1,24875
I. V. Schevtschenko,1,24876
Claus Atzenbeck,1,24877
Milan Vasilko,1,24878
Hiromitsu Ohmori,1,24879
Veljko Milutinovic,1,24880
Alfredo Capozucca,1,24881
Sung-Ryong Moon,1,24882
Paolo Amato,1,24883
Thierry Henocq,1,24884
Hasan Szer,1,24885
Mathieu Latourrette,1,24886
Satyam Tyagi,1,24887
Savitha Murthy,1,24888
Sabrina Mantaci,1,24889
Fulgencio Buendia Buendia,1,24890
Seppo Kalli,1,24891
Sascha Ott,1,24892
Rüdiger Grimm,1,24893
B.E. Cooper,1,24894
Anna Capietto,1,24895
Carlos Simpson,1,24896
Kurt Verschaeve,1,24897
Ramon Costa Castelló,1,24898
Gundula Dörries,1,24899
Sylvain Paris,1,24900
Spyros Chatzivasileiadis,1,24901
Akio Yamada,1,24902
Saheed A. Busari,1,24903
Vineeta Singh,1,24904
Hiroshi Tsujino,1,24905
Hilario Genovés Gómez,1,24906
Alex Tsow,1,24907
Ramanath Subramanyam,1,24908
Mutyam Madhu,1,24909
George W. Collins,1,24910
Sancho Park,1,24911
Xun Yuan,1,24912
Anwar M. Ghuloum,1,24914
Victor Varshavsky,1,24915
Peter Horvai,1,24916
Marco de Sá,1,24917
John M. Cameron,1,24918
José Siqueira,1,24919
Xinming Yan,1,24920
Akash Deshpande,1,24921
Takanori Maesako,1,24922
Maode Ma,1,24923
Sungshik Koh,1,24924
Dino P. Oliva,1,24925
Tetsuo Hasegawa,1,24926
Tim Oliver,1,24927
Amnon Ta-Shma,1,24928
Giulio Pattanaro,1,24929
Thomas Kulessa,1,24930
Jianxin Liao,1,24931
Takashi Omori,1,24932
Luís Pires Silva,1,24933
Rohit S. Deo,1,24934
Anil Kumar Dubey,1,24935
B. Naresh Kumar Reddy,1,24936
Rosy Pradhan,1,24937
Daniel González-Jiménez,1,24938
Patrick S. Huggins,1,24939
Shasha Feng,1,24940
Fengqing Han,1,24941
J. Alan Cosby,1,24942
Thomas Ward,1,24943
L. C. Varian,1,24944
Robert R. Karfhage,1,24945
Olavi Vähämäki,1,24946
Lucas Dixon,1,24947
Yongjian Huang,1,24948
William S. Worley,1,24949
Jin-San Cheng,1,24950
Byoung-Soo Koh,1,24951
Koji Ito,1,24952
J.-L. Tyran,1,24953
Bongsug Chae,1,24954
Sally Bogacz,1,24955
Richard Lajoie,1,24956
K. van Deemter,1,24957
Juan M. Sánchez Pérez,1,24958
Harshit J. Shah,1,24959
Céline Casenave,1,24960
Heung Yeung Shum,1,24961
Jongchul Park,1,24962
G. Rote,1,24963
Yutaka Tsutano,1,24964
Hing Kai Chan,1,24965
Eduardo Gildin,1,24966
Daniel Ariosto,1,24967
Prabagarane Nagaradjane,1,24968
Stefan Roth,1,24969
Elena Prieto,1,24970
Alexander Schirdewan,1,24971
Salima Benbernou,1,24972
Ben Sedee,1,24973
Krishna R. Pattipati,1,24974
Bruce Allen Maxwell,1,24975
Hongying Hu,1,24976
Axel Glaser,1,24977
Nicolas Larrieu,1,24978
Qi Han,1,24979
Christian Thiel,1,24980
Stéphane Nègre,1,24981
Vangelis Gazis,1,24982
Sang Uk Shin,1,24983
V. S. K. Reddy,1,24984
Jenny Liu,1,24985
Vartan A. Padaryan,1,24986
Ola Söder,1,24987
Yueh-Hsiung Kuo,1,24988
Tewfik Ziadi,1,24989
F. Javier Crespo,1,24990
George Margetis,1,24991
Aleksander Skakowski,1,24992
Andreas Varnavas,1,24993
Jie Xiang,1,24994
Markus Lindermeier,1,24995
Dmitri Grushin,1,24996
Anis Jedidi,1,24997
Frank Kargl,1,24998
James Kennedy,1,24999
Todd A. Proebsting,1,25000
Jonas Michel Wolf,1,25001
Heiko Maus,1,25002
Owaiz Petkar,1,25003
Kavita Jain,1,25004
Fabien Delpiano,1,25005
Chunfang Zhang,1,25006
Manik Chandra,1,25007
Ivana Kruijff-Korbayová,1,25008
Akiyoshi Sugiki,1,25009
Jiří Žára,1,25010
Maolin Li,1,25011
Andrzej Osyczka,1,25012
Sang Gyun Kim,1,25013
Tanya L. Cheyne,1,25014
Alessandro Raviola,1,25015
Jason King,1,25016
Richard P. Watkins,1,25017
Lakshya Kejriwal,1,25018
Neil Spring,1,25019
Haosheng Chen,1,25020
Jon R. Kettenring,1,25021
Marian Borek,1,25022
Doraisamy Gobu Sooryanarayan,1,25023
Thorsten Herfet,1,25024
Stephen Barrett,1,25025
Girish Maskeri Rama,1,25026
H. Burklin,1,25027
Ji-Hyuk You,1,25028
Aiko M. Hormann,1,25029
Eleni Tomai,1,25030
Mark S. Day,1,25031
Nikolay Kirov,1,25032
E. Gutierrez-Arias,1,25033
R. E. Clark,1,25034
Hala ElAarag,1,25035
Sanja Aaramaa,1,25036
Elisabeth Paulson,1,25037
Kun Mean Hou,1,25038
Yi-Jing Lin,1,25039
Hwa Jeong Son,1,25040
Thomas Roy,1,25041
Mark Marron,1,25042
Shigeo Tsujii,1,25043
Aamer Nadeem,1,25044
Yan Lu,1,25045
E. Eugene Grant,1,25046
Il Kon Kim,1,25047
Joseph Aguilar-Martin,1,25048
K.-H. Schmidt,1,25049
Steve Harrison,1,25051
Masaaki Mori,1,25052
Christian Anthony L. Go,1,25053
Ichiro Kobayashi,1,25054
Michele Giorelli,1,25055
Yutaka Kidawaral,1,25056
José Oliver,1,25057
Xingyuan Zhang,1,25058
Jorge A. Romero,1,25059
Shmuel T. Klein,1,25060
Gregor Giebel,1,25061
Hsin-Ta Chiao,1,25062
Christian Knöpfle,1,25063
Debin Yin,1,25064
Elmar Lang,1,25065
Alan Martin,1,25066
Jari Still,1,25067
Seth Gilbert,1,25068
Alison P. Musgrave,1,25069
Melissa Cole,1,25070
Boris A. Galitsky,1,25071
Alexander Ivanyukovich,1,25072
Colin J. Fidge,1,25073
Maria Liakata,1,25074
May L. Chan,1,25075
Huseyin Simitci,1,25076
Jung-Jin Yang,1,25077
R. Vijay Kumar,1,25078
Rune M. Jensen,1,25079
Wayne Szeto,1,25080
Gen Hori,1,25081
Roger M. Firestone,1,25082
Graeme Edwards,1,25083
Hans-Peter Schwefel,1,25084
Nam-Yeol Lee,1,25085
Athina Markopoulou,1,25086
Irving L. Traiger,1,25087
G. M. Feast,1,25088
Pengfei Xu,1,25089
Marcello M. Bersani,1,25090
Sergio Palma da Justa Medeiros,1,25091
Fulvio Giovanni Ottavio Risso,1,25092
Shukor Abd Razak,1,25093
Robert Willison,1,25094
Daan Pareit,1,25096
Tadashige Iwao,1,25097
Nandu Nair,1,25098
Miodrag Potkonjak,1,25099
Kai Zeng,1,25100
Li Gong,1,25101
Divya Gopinath,1,25102
Shanthipriya Yandrathi,1,25103
Li Chen Fu,1,25104
Barmeshwar Vikramaditya,1,25105
Nishith R. Patel,1,25106
Kweku Ewusi-Mensah,1,25107
Manel Smatti,1,25108
Mathieu Braem,1,25109
Milan Anderle,1,25110
Peter Biber,1,25111
Dan Morris,1,25112
Pirkko Nykänen,1,25113
Sylvia Wilharm,1,25114
Konstantinos Pliakos,1,25115
Yoshifusa Ito,1,25116
Christophe Nicolle,1,25117
Naveen Ashish,1,25118
Waldemar W. Koczkodaj,1,25119
Vera Hollink,1,25120
Dries Schellekens,1,25121
Alain Y. Kibangou,1,25122
Chengde Mao,1,25124
Judee M. Mussehl,1,25125
Jachym Kolar,1,25126
Anthony P Craig,1,25127
Guo Cao,1,25128
Dishant Mittal,1,25129
Afef Gueidi,1,25130
Zongxia Du,1,25131
Daniele Baggio,1,25132
D. Keane,1,25133
Norman Hansen,1,25134
Paula Barraza,1,25135
Ali Keyvani,1,25136
Andrew Webster,1,25137
Varsha Apte,1,25138
Gary F. Simons,1,25139
Bruno Monastero,1,25140
Nasreddine Aoumeur,1,25141
Ayush Agarwal,1,25142
Vito Cacucciolo,1,25143
Klaus Mueller,1,25144
Kazuyuki Ito,1,25145
Woo-Young Jung,1,25146
Jim Smith,1,25147
Christof Monz,1,25148
Kahtan Alhawash,1,25149
Viktor T. Markov,1,25150
Leslie G. Valiant,1,25151
Carsten Holtmann,1,25153
Roshi Choudhary,1,25154
Paea LePendu,1,25155
Douglas H. Fisher,1,25156
Nora Houari,1,25157
Radley Gordon,1,25158
M.-H. Durand,1,25159
Franz Schweiggert,1,25160
Ali R. Montazemi,1,25161
Gavin Mercer,1,25162
Xunyuan Yin,1,25163
Sergey Bezzateev,1,25164
S. Neethu,1,25165
Daniel F. Abawi,1,25166
Achilles Kameas,1,25167
Heather Kreger,1,25168
Konstantina Papagiannaki,1,25169
He-jun Wang,1,25170
Andrea Mangion,1,25171
L Snehalatha,1,25172
G.H. Kumar,1,25173
Sven Pfeiffer,1,25174
Henk Eertink,1,25175
Evi Papaioannou,1,25176
Alan Stephenson,1,25177
Peter K. Antonitsch,1,25178
Mario Monteiro,1,25179
Joselíto J. Chua,1,25180
Walmir M. Caminhas,1,25181
Albert K. T. Hui,1,25182
Raed Alsaqour,1,25183
Julien Saunier,1,25184
Bastian Best,1,25185
C. Delatre,1,25186
Dae Young Lee,1,25187
J. Jayanthi,1,25188
Cláudio Silva,1,25189
J. Capdevila,1,25191
Bodong Liang,1,25192
Phanivas Vemuri,1,25193
Guangyuan Liu,1,25194
Lemin Li,1,25195
Hongkun Li,1,25196
Luciano G. Fagundes,1,25197
Zhang Kun,1,25198
Anders Andersson,1,25199
Laurent Théry,1,25200
Sun-gi Kim,1,25201
Philippe Michiels,1,25202
Bonnie Berger,1,25203
J. M. Álvarez Llorente,1,25204
Greg Meredith,1,25205
Ralf Kneuper,1,25206
Christian Lindig,1,25207
Steven Daeninck,1,25208
Anthony Busson,1,25209
C. Henry Chu,1,25210
Johan Berntsson,1,25211
Andrew J. Kompanek,1,25212
Yolanda S. George,1,25213
Yoshiaki Katayama,1,25214
Anna Lubiw,1,25215
Mario Manto,1,25216
Russell J. Abbott,1,25217
Tom Mahieu,1,25218
Charles Murray,1,25219
Magnus E. Bjornsson,1,25220
Chunfeng Shen,1,25221
Matthias Jöst,1,25222
Tero Toivonen,1,25223
Doug Jacobson,1,25224
Hans Josef Pesch,1,25225
Juha Marila,1,25226
Jennifer G. Dy,1,25227
Yoon-Young Park,1,25228
Pum-Mo Ryu,1,25229
Gunnar Bolmsjö,1,25230
Seiji Saito,1,25231
Timo Aho,1,25232
YoungLok Lee,1,25233
Yixuan Liu,1,25234
Ulrich Epple,1,25235
Takahiko Shinmi,1,25236
Ralph Schönfelder,1,25237
Charles A. Fowler,1,25238
Hirotaka Niitsuma,1,25239
Si-Pei Liu,1,25240
Guido Vanden Berghe,1,25241
Hoseinali Borhan,1,25242
George J. Vachtsevanos,1,25243
Daby M. Sow,1,25244
Grant M. Maxwell,1,25245
Dagmar Surmann,1,25246
Samuel Delepoulle,1,25247
Shrayan Kumar Das,1,25248
Adi Livnat,1,25249
Ji Yoon Yoo,1,25250
Michael J. Lee,1,25252
Peter Kipfer,1,25253
Carl Lagoze,1,25254
Shannon Kallin,1,25255
Phillip N. King,1,25256
Claudio Paliotta,1,25257
Tae Hyun Kim,1,25258
Colleen Cunningham,1,25259
Dong-Sik Yun,1,25260
Tassos D. Dimitriou,1,25261
Jun-Sik Kim,1,25262
Cristina M. Cirre,1,25263
Young-Chan Kim,1,25264
Amr Kamel,1,25265
Melissa Barazandegan,1,25266
Kazuhiro Fuchi,1,25267
Ahmed Farouk Ghoneim,1,25268
Vineet Khanna,1,25269
David A. Spencer,1,25270
Andrew Weiler,1,25271
Christopher Diaz,1,25272
Clay Williams,1,25273
Simona Orzan,1,25274
Reiner Hegerl,1,25275
Archana Ratnaparkhi,1,25276
Xuequn Shang,1,25277
Daniel J. Rosenkrantz,1,25278
Michael Uchanski,1,25279
Jun Lee,1,25280
Arvind Krishnaswamy,1,25281
Steven Clarke,1,25282
John H. Sayler,1,25283
Kit Po Wong,1,25284
Shigeru Fukunaga,1,25285
Lalitha Rangarajan,1,25286
Christopher Bowman,1,25287
Thomas Li,1,25288
Charles Silverman,1,25289
Thomas Ruhroth,1,25290
Andrea De Vendictis,1,25292
Jagan Sankaranarayanan,1,25293
Neil L. Waters,1,25294
Fujun Zhu,1,25295
Michael Schiwietz,1,25296
Guang Yao Jin,1,25297
Jana Maxová,1,25298
Yunfei Xu,1,25299
Claude Timsit,1,25300
Dmitry O. Gorodnichy,1,25301
Laura Galluccio,1,25302
Larry E. Travis,1,25303
Javier Cuétara,1,25304
Billawdeep Deb,1,25305
Taro Suzuki,1,25306
Feiyu Lei,1,25307
Bernhard Diem,1,25308
Koji Kawano,1,25309
Anjala S. Krishen,1,25310
S. Weinstein,1,25311
Nicolas Fay,1,25312
J F Field,1,25313
Robert Maas,1,25314
Akash S,1,25315
D. W. Merrill,1,25316
Steve Sibbald,1,25317
Paul Y. Gloess,1,25318
John Frederiksen,1,25319
Jesús Barrasa Rodríguez,1,25320
Seung-Woo Seo,1,25321
Ting-Shu Lin,1,25322
Sile O'Modhrain,1,25323
Wen-Lin Yang,1,25324
Peter Gilbert,1,25325
Patricia Virmnond,1,25326
Jiluan Pan,1,25327
Xiaoxiang Zhu,1,25328
Jean-Christophe Routier,1,25329
JongHyun Lee,1,25330
Weidong Huang,1,25331
Boselin Prabhu,1,25332
Patrick P. Tsang,1,25333
Nimitt Bhatt,1,25334
D. Robillard,1,25335
Andreas Baltz,1,25336
María López-Valdés,1,25337
Yeong-Sun Song,1,25338
Tuomo Kähkönen,1,25339
Yiannis Tsiounis,1,25340
Rakesh Kumar Ambhati,1,25341
Sebastian Mödersheim,1,25342
Pedro F. Campos,1,25343
Clark Barrett,1,25344
Tamás Vinkó,1,25345
E. Navas,1,25346
Erli Wang,1,25355
P. Wang,1,25356
Vu1210208,1,25360
K. Bernhard Schiefer,1,25361
Frank Panse,1,25363
Benjamin D. Winter,1,25367
Anita Araneda,1,25368
Ana Maria Madrigal,1,25369
Nupur Jain,1,25371
Miin-Shen Yang,1,25372
Samir Dani,1,25374
Joris Rehm,1,25376
Lawrence C. Stewart,1,25379
Asim K. Pal,1,25382
Görschwin Fey,1,25383
Ming Guo,1,25385
Keun-Wang Lee,1,25386
Jörg Bredno,1,25389
Peter van Beek,1,25390
Martin Strohbach,1,25393
Pierre Roche,1,25394
Marco Brino,1,25397
Lutz Priese,1,25400
Brian A. Malloy,1,25401
Damien Massé,1,25402
Chuong Hoang Nguyen,1,25404
P. Dinakar,1,25406
Laurent Soubrevilla,1,25410
Léon Bottou,1,25411
Chia Jim Tong,1,25414
Manish Handa,1,25421
Mathieu Rognant,1,25427
Changjie Wang,1,25434
Muhong Zhang,1,25435
Wojciech Zajdel,1,25436
Minghua Qu,1,25437
K. R. Chandran,1,25438
Isao Echizen,1,25439
Andrea C. Arpaci-Dusseau,1,25441
A.L. Blumel,1,25442
Angel Kuri,1,25446
Shmuel Safra,1,25449
Toby McClean,1,25450
Ciro Autiero,1,25451
John Demme,1,25454
Changbo Wang,1,25455
Dirk Janssens,1,25457
Dominic Wörner,1,25461
Zhibin Li,1,25464
B. Szendrő,1,25465
Joonhee Yoo,1,25467
Keiichiro Takahashi,1,25468
Xiaoxi Han,1,25470
Thomas Wallet,1,25471
Richard Bearee,1,25474
Dieter Wallach,1,25476
Bojan Milosevic,1,25482
M. Turala,1,25484
Janet Barker,1,25487
Francine Ngani Noudem,1,25488
Andreas Pfeil,1,25490
R.C. Jain,1,25492
Geert Jan Bex,1,25493
María Victoria Rodellar Biarge,1,25494
Wiem Khlif,1,25495
Tomonori Yamane,1,25496
Shaomin Li,1,25497
Yunja Choi,1,25498
Lalana Kagal,1,25502
King-Chuen Lin,1,25504
Seyed Hamid Hamraz,1,25510
Hajime Fujie,1,25513
J.P. Katoen,1,25518
Ron L. Hale,1,25520
K. Kouser,1,25522
Quoc V. Le,1,25524
Andrea Molinari,1,25525
V. Darmstaedter,1,25526
Seongmin Cho,1,25532
Daniel Camozzato,1,25533
Bhavul Gauri,1,25536
Han Chen,1,25539
Tomoaki Yagi,1,25543
Alberto Ocello,1,25544
Sascha Lange,1,25547
Patchrawat Uthaisombut,1,25551
Aniket Kittur,1,25553
Kit-Ying Hui,1,25555
Bruno Picasso,1,25556
Atanas P. Gotchev,1,25557
K. Inoue,1,25562
Jingting Lu,1,25563
Yannick Teglia,1,25564
Thor Kristoffersen,1,25565
Harith Ahmad,1,25567
Christos Bohoris,1,25569
Glen Hart,1,25575
Jonathan Ben-Naim,1,25577
V. Prasanna Venkatesan,1,25578
Jean Ferrié,1,25581
Angela Consoli,1,25582
Reza Ebrahimi Atani,1,25583
Ashok Kumar,1,25586
Włodzimierz Bzyl,1,25588
Patrick Stiegeler,1,25590
B Bipin,1,25594
Paola Festa,1,25595
Jae-Cheol Ryou,1,25596
Ioannis Z. Emiris,1,25597
Petros Belsis,1,25603
Wei-Fan Chiang,1,25605
Matthias Gladt,1,25608
Yao Pan,1,25610
S.O.R. Moheimani,1,25612
Hee-Sook Kim,1,25614
Serkan Kiranyazi,1,25616
Evangelos Vayias,1,25620
Rafal Zdunek,1,25621
G. van Drimmelen,1,25622
Marc Hensel,1,25623
Justin Lloyd,1,25625
John Power,1,25633
Henning Lobin,1,25634
Athanasios Christakidis,1,25636
Zhe Liu,1,25639
Jürgen Ziegler,1,25642
Robert J. Aiken,1,25645
Randolph Blake,1,25650
S. Biswas,1,25651
C. Marque,1,25652
Juchang Lee,1,25654
Cataldo Musto,1,25655
Tho Hoan Pham,1,25659
Bhargav Kothapalli,1,25662
Jonathan A. Kelner,1,25663
Miguel Aranda,1,25664
Borja Navarro,1,25665
Difei Wan,1,25666
Alberto Montilla Bravo,1,25668
James Birt,1,25669
Rachel Freeman,1,25672
Hirotaka Sakamoto,1,25674
Antonio Fariña,1,25676
Ho-Joon Kim,1,25677
Rafael Lotufo,1,25678
Yusuke Sasaki,1,25689
Oana Andrei,1,25691
J. L. Cuesta,1,25694
Randy Rockinson,1,25696
Peter Giesl,1,25698
Dina Shona Laila,1,25699
Vu Le,1,25702
David S. L. Wei,1,25703
Choong Ming Chin,1,25704
Matteo Giudici,1,25705
Elinda Ai-Lim Lee,1,25707
S. Kamal Abdali,1,25711
Oliver Wenisch,1,25712
Johan Thomas,1,25713
Rainer Ruggaber,1,25715
Aleksandrs Belovs,1,25716
Panlop Zeephongsekul,1,25717
Ralph Grothmann,1,25718
Anindya Neogi,1,25719
Shulin Zhou,1,25721
J N V S Indu Bhaskar,1,25724
Reudismam Rolim,1,25726
Mohammad Faizal Ahmad Fauzi,1,25731
Montri Phothisonothai,1,25735
Emilio Arch Tirado,1,25737
Ulrich Neumann,1,25738
Daniel Winteler,1,25740
S. Kamath Sowmya,1,25741
James L. Raney,1,25745
Jui-Fa Chen,1,25747
Oyuna O. Angatkina,1,25752
Jonathan L. Gray,1,25754
Pierre Desforges,1,25755
Germán Fabregat,1,25757
Sabine Mondié,1,25759
Judah L. Schwartz,1,25761
Arjan J. H. Peddemors,1,25762
Mahesh S. Khadtare,1,25763
Xiuming Yao,1,25767
Pinjia He,1,25771
Hiroshi Nakada,1,25774
Rok Sosic,1,25775
Am-Sok Oh,1,25776
Ira B. Schwartz,1,25782
Jan Faigl,1,25785
Jean-Michel Boucheix,1,25787
Germán Gómez-Herrero,1,25788
Nils Unger,1,25790
Michael Wolfe,1,25791
Jake Quenzer,1,25793
S. P. Syed Ibrahim,1,25794
Steven R. Carlough,1,25797
Antony Antony,1,25798
Morshed U. Chowdhury,1,25801
José María Guirao,1,25805
Yuanyuan Wang,1,25806
Michal Soch,1,25810
Bruno d'Ausbourg,1,25815
Ganesh D. Bhatt,1,25816
Namfon Assawamekin,1,25818
Gautier Bastide,1,25820
Raphael Perret,1,25823
Joshua Leighton,1,25827
Bruno Borloz,1,25828
Antonio Adrián Quijano,1,25830
David G. Belanger,1,25831
Juan P. Galeotti,1,25833
Yinghong Luo,1,25834
Mohammed H. Sqalli,1,25836
Matthew L. Dering,1,25837
Nirwan Ansari,1,25841
Giovanni Pini,1,25842
Donald A. Sofge,1,25844
俊介 稲永,1,25855
Stefano Evangelisti,1,25858
Ju-Lan Tao,1,25861
Seungmoon Choi,1,25863
Naren Kodali,1,25865
Vladimiro Scotto di Carlo,1,25866
Vincent Verillotte,1,25871
Keshav P. Dahal,1,25872
Laurent Gallon,1,25873
Ajay K. Mandava,1,25875
Ruifeng Xu,1,25877
Mattias Esbjörnsson,1,25878
Litong Song,1,25881
Luca Dall'Asta,1,25884
Jonathan Kavanagh,1,25885
Stelios Krinidis,1,25886
Benjamin Livshits,1,25889
Chisato Numaoka,1,25891
Thomas D. White,1,25893
Bahar Karaoglan,1,25895
Panagiotis N. Nikolaou,1,25896
Kenzi Noike,1,25902
Angelo Messina,1,25910
Chris Seguin,1,25911
S. Yashiro,1,25913
Lixin Cheng,1,25920
Sandeep Kumar Konda,1,25921
Diego Mollá,1,25922
Luis Sanchez,1,25924
Luiz Henrique Alves Monteiro,1,25925
ArunVikas Singh,1,25932
Kazuyoshi Hidaka,1,25938
Marina S. Zavolovskaya,1,25940
Lisa Walton,1,25941
Rey-Long Liu,1,25942
Marian Orlowski,1,25945
A. Webb,1,25947
Taeho Kgil,1,25952
Robert Büssow,1,25958
Hans Karim Djarraya,1,25960
Gaurav Kataria,1,25964
Joao Porto De Albuque,1,25967
Ashok Rao,1,25968
Michael Gössel,1,25971
Patrick W. Demasco,1,25973
Masashi Morikawa,1,25974
Makoto Sakuta,1,25975
Wim Michiels,1,25976
Steen Andreassen,1,25978
Aiko Fallas Yamashita,1,25981
Srinivas Sridharan,1,25983
Li-Pu Yeh,1,25991
Xiaoyun Wu,1,25995
Vincent Furnon,1,25996
Supratim Deb,1,26001
Shin'ichi Oishi,1,26004
Hans Fleischhack,1,26008
Weiyun Huang,1,26010
Emil Sit,1,26011
Paul L. Rosin,1,26012
Moreno Marzolla,1,26014
Naidu Kanapaka,1,26015
Kyongsoo Kim,1,26016
J. Usha,1,26017
Hagen Lehmann,1,26022
Wenbing Liu,1,26023
Armando Eduardo De Giusti,1,26024
Stephen J. Cook,1,26025
Jong-Suk Lee,1,26026
Marcelo Dias de Amorim,1,26027
Basaveswara Rao Bobba,1,26029
Hyung Soo Jung,1,26030
Christian Peper,1,26031
Robert A. Nelson,1,26032
Keita Yokoyama,1,26033
Takashi Sato,1,26034
Mickael Randour,1,26040
Mark Gargan,1,26042
Jelle Attema,1,26046
Jizheng Xu,1,26050
Makoto Shozakai,1,26051
Patrick Taillibert,1,26052
Alina Oprea,1,26053
M. Luisa De Cicco,1,26058
Bernhard Stoeger,1,26060
Jin-Long Chen,1,26065
Sandeep Kale,1,26066
Geoffrey Knoerzer,1,26067
Ying Qin,1,26068
O. Mema Devi,1,26069
Hong-liu Yang,1,26072
Liangzhou Chen,1,26073
Patsy B. Saunders,1,26075
Haim Avni,1,26076
Takashi Kawauchi,1,26077
Vagner Sacramento,1,26078
Stephen W. Brown,1,26080
Vincent Messerli,1,26081
Jürgen Geiser,1,26084
Aristotelis Glentis,1,26085
Y. V. Ramana Reddy,1,26086
Dan Stieper Karbing,1,26089
Veena Mayya,1,26091
José Manuel Bravo,1,26095
Jing Shi,1,26097
W. Chiu,1,26098
Debbie Richards,1,26101
Tomasz P. Michalak,1,26103
Shuo Wu,1,26104
Kazuyoshi Murata,1,26106
David Meger,1,26109
Arvind Singh Chandel,1,26112
Dongyi Ye,1,26113
Edyta Rowińska,1,26114
Alain Tanguy,1,26119
Edwin El Mahassni,1,26120
Martine Girard,1,26122
Beth Jelfs,1,26123
Anita Borg,1,26124
Alexey V. Demakov,1,26131
Yaron Kanza,1,26135
Payal Goel,1,26138
P.F.A. van den Bosch,1,26146
Javed Imran,1,26147
Roland Koholka,1,26148
Gabriela Ochoa,1,26153
Moeness G. Amin,1,26155
P. Michaleris,1,26157
Y. Zhu,1,26159
Yukari Yamauchi,1,26162
Luc de Witte,1,26164
Fernando Oliveto,1,26166
Oyendrila Dobe,1,26167
Shan Guo,1,26169
Gaurav Varshney,1,26170
Arthe Henriette Pascaline,1,26171
Neva Slani,1,26172
Hairong Jin,1,26173
Bingzhao Gao,1,26175
Nicolas Ech Chafai,1,26176
N. Castro,1,26177
Stewart Robertson,1,26178
A. Gabriele,1,26182
Mitchel Craun,1,26184
Wouter C. A. Wijngaards,1,26185
Abhijit Kulkarni,1,26186
Petr Kouznetsov,1,26187
Beat Signer,1,26190
Vanya Sharma,1,26192
Iman Elghandour,1,26194
Anjana Palolithazhe,1,26198
Emanuele Viola,1,26203
Ronald G. Dreslinski,1,26204
Albert J. Semtner,1,26205
Raúl Alcaraz,1,26206
Ángel Hernández García,1,26208
Yao Zheng,1,26210
Mike Thelwall,1,26213
Frédéric Boudon,1,26215
Igor Persiantsev,1,26216
Christophe Marecaux,1,26218
Frank Levy,1,26219
Yoshihiro Tohma,1,26221
Max J. H. Witjes,1,26222
Chris I. Dalton,1,26224
Rosario Vidal,1,26226
Ilkka Norros,1,26228
Dolors Català Guitart,1,26231
Hui Cheng,1,26232
Daniel M. Sunday,1,26233
Chandan Kumar Jha,1,26234
Gustavo Jiménez,1,26239
Xiangquan Shi,1,26243
Neville Churcher,1,26246
Alec Koppel,1,26255
Benjamin Horowitz,1,26261
David Zabowski,1,26263
Hubert Labelle,1,26266
Mark Sagar,1,26267
Eduardo J. Molinos,1,26272
Paul L. Springer,1,26273
Jing Ying,1,26276
Carlos Castro-Herrera,1,26278
Torsten Liesk,1,26279
Palak Sharma,1,26281
Toshiaki Suzuki,1,26284
Mark Lee,1,26286
Arnaud Giersch,1,26288
Michael Smirnov,1,26289
Lambert J. M. Nieuwenhuis,1,26295
Shitan Huang,1,26296
Peter Warren,1,26297
Artem Shelmanov,1,26300
Luigina D'amato,1,26302
Christian Reimann,1,26304
Irwin D. Greenwald,1,26305
Emmanuel Coquery,1,26306
Ben L. Di Vito,1,26312
Michael R. McGuire,1,26318
Irena Lasiecka,1,26319
Josep Pegueroles,1,26320
Milton Pires Ramos,1,26322
Vivien Dubois,1,26324
Adelina Ciurumelea,1,26325
Michel Morvan,1,26326
James B. Hayfron-Acquah,1,26330
Paolo Cignoni,1,26331
Matthew Dixon,1,26332
Lindsay Marshall,1,26333
Jonathan Herzog,1,26337
